id;TA Rating;TA URL;TA Review Count;url;min_person;gps_longitude;gps_latitude;city;address;country;universe;price;rating;name;seo_title;short_desc;long_desc;seo_desc;image;rating
1665;5;https://www.tripadvisor.com/Attraction_Review-g1940668-d10465161-Reviews-Ride_in_Tours-La_Ville_aux_Dames_Indre_et_Loire_Centre_Val_de_Loire.html?m=67180;60;nos-smartbox/bien-etre/detente-absolue-141.html;2;0.782582;47.3894759;La Ville-Aux-Dames;196 avenue George Sand;FR;ADV;99.9;9.5;Discovery of the Loire castles region by scooter;Scooter and visit to a castle - La Ville-aux-Dames - Smartbox;Discovery of the Loire castle region by scooter;An experience as unusual as it is irresistible awaits lovers of outdoor adventure and discovery in freedom: a scooter getaway in the Loire castles region with Ride in Tours. Founded by two motorcycle enthusiasts, this original travel agency designs free or two-wheeled tours and itineraries to discover France and its treasures. On the handlebars of their vehicles, one-day explorers will walk the roads in duo, guided by the team's wise advice. On the small roads of Touraine, they will live the dolce vita for a day, according to the beautiful landscapes, classified monuments, gastronomic specialties and picturesque villages crossed. In total freedom, all that remains is to choose your rhythm and even push the door of one of the jewels of this UNESCO World Heritage region, during a pleasant visit.;Do you know two lovers of outdoor adventure? Offer them a scooter getaway and a visit to the Loire castle region!;https://media.smartbox.com/pim/filters:format(webp)/100000262965226034187.jpg;2
1673;4.5;https://www.tripadvisor.com/Hotel_Review-g1080868-d310512-Reviews-Hotel_et_Spa_Chai_de_la_Paleine-Le_Puy_Notre_Dame_Maine_et_Loire_Pays_de_la_Loire.html?m=67180;299;nos-smartbox/gastronomie/table-romantique-144.html;2;-0.2382563;47.1274573;Le Puy-Notre-Dame;10 place Jules Raimbault;FR;STA;69.9;8.4;Rustic 2-day stay in a former cellar in Maine-et-Loire;2-day stay in an old cellar - Le Puy-Notre-Dame - Smartbox;Rustic 2-day stay in a former cellar in Maine-et-Loire;Between Loire castles, vineyards and troglodyte sites, souls in search of relaxation and escape will taste the Angevin sweetness at Chai de la Paleine. Nestled in the lands of Saumurois, this large 19th-century house is acclaimed for its peaceful rooms, as well as its high idea of hospitality, rewarded with the TripAdvisor Certificate of Excellence. It is here that this charming and boutique hotel offers visitors to stay in pleasant cocoons of sweetness, in the heart of a sublime estate. They can expect long walks through the park populated by century-old trees, and equipped with multiple leisure facilities. A relaxing parenthesis in its salons decorated with libraries and paintings, at the orangery or in the old wine enclosure will meet all desires for relaxation and discovery. This atypical and quiet old cellar will be the ideal step to explore the cellars, good restaurants and other must-see attractions of the Loire Valley.;In the Loire castle region, offer an atypical stop at the Chai de la Paleine! A relaxing break in a charming hotel.;https://media.smartbox.com/pim/filters:format(webp)/10000022631811072283460.jpg;102
1779;5;https://www.tripadvisor.com/Attraction_Review-g187253-d3850473-Reviews-Fada_Bike-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html?m=67180;885;nos-smartbox/gastronomie/tables-creatives-196.html;1;5.3648205;43.2870362;Marseille;91 rue d'Endoume;FR;ADV;29.9;10;Unusual visit of Marseille by electric bike;Electric bike - Marseille - Smartbox;Unusual visit of Marseille by electric bike;A fun and comfortable bike ride awaits lovers of discovery in Marseille! Light, ecological, pleasant and practical for climbing the hills, the electric bike has only advantages! E.Bike Tours Marseille offers to test this little jewel of innovation during a tourist visit to the seaside neighbourhoods of the Phocaean city. His friendly team, holder of the TripAdvisor Certificate of Excellence, has meticulously studied the itinerary of this two-hour, anecdotal and playful hike. Local escorts will reveal breathtaking views and secret corners protected by the Good Mother. On the handlebars of this fast bike, all that remains is to be charmed and surprised by the different sites seen: the Pharo, the port of Malmousque, the Auffes valley, the Corniche, Notre-Dame de la Garde, the Abbey of Saint-Victor... and by the places that only the people of Marseille know. The city is revealed in a new light!;Offer an electric bike ride to one of your loved ones. This light, practical and ecological vehicle is ideal for visiting Marseille in an unusual way!;https://media.smartbox.com/pim/filters:format(webp)/10000026296591913453548.jpg;2
1986;5;https://www.tripadvisor.com/Attraction_Review-g644149-d7206937-Reviews-Aviation_RG_ULM-Challes_les_Eaux_Savoie_Auvergne_Rhone_Alpes.html?m=67180;4;nuestras-cajas/mil-planes/momentos-unicos-para-dos-1378.html;1;5.9797078;45.5536634;Challes-les-Eaux;Avenue de Chambéry;FR;ADV;189.9;9.56;Overflight of Mont-Blanc in ULM;ULM - Challes-les-Eaux - Smartbox;Overflight of Mont-Blanc in ULM;Near Chambéry, heading for the Mont-Blanc massif aboard the world's best performing two-seater ULM with the RG ULM aircraft team! Richard Gouble, former member of the French Gliding Team, proposes to embark his VL3 Evolution, a very advanced ultralight aircraft, built of carbon fibre and kevlar, for an unforgettable flight from the Chambéry - Challes-les-Eaux aerodrome, in Savoie. Alongside this seasoned pilot, adrenaline lovers will prepare for take-off, before escaping in the air to the roof of Europe aboard this little jewel of innovation. All that remains is to contemplate with emotion the most beautiful alpine landscapes before approaching the majestic Mont Blanc, a rock and snow colossus that has made so many mountaineers dream. This magical experience will allow you to discover the sensations of driving and, perhaps, a new passion!;Near Chambéry, offer the opportunity to head for the Mont-Blanc massif aboard the world's best-performing two-seater ULM. An unforgettable flight!;https://media.smartbox.com/pim/filters:format(webp)/1000001967987808788816.jpg;6
2324;4.5;https://www.tripadvisor.com/Attraction_Review-g187087-d1643209-Reviews-Circuit_Pau_Arnos-Pau_Communaute_d_Agglomeration_Pau_Pyrenees_Bearn_Basque_Countr.html?m=67180;85;nos-smartbox/sport-aventure/char-a-voile-1132.html;1;-0.5317285;43.4467086;Arnos;1 camin deu Circuit;FR;ADV;189.9;;5 laps at the wheel of a Porsche on the Pau-Arnos circuit;Porsche driving - Pau Arnos Circuit - Smartbox;5 laps at the wheel of a Porsche on the Pau-Arnos circuit;Making the engine of a Porsche roar and feeling the power of this exceptional car is the unforgettable experience that awaits driving enthusiasts at the GTRO driving school! The appointment is given to one-day drivers on the Pau-Arnos circuit to get behind the wheel of a Porsche Cayman, one of the most beautiful cars in the world, on five laps of pure madness! The instructors graduated from the school will welcome them on this track offering a very technical and hilly route of nearly three kilometres, in a sublime natural setting. On the program: memorise the curves of the track, before getting behind the wheel of the powerful Porsche Cayman, perfectly balanced. The high quality of the track allows you to focus on the trajectories and fully enjoy the sensations provided by speed. Porsche's design and extremely high-performance braking promise beautiful adrenaline rushes!;On the Pau-Arnos circuit, offer 5 laps behind the wheel of a Porsche Cayman. An adrenaline-rich experience aboard a jewel of sportiness.;https://media.smartbox.com/pim/filters:format(webp)/10000022744471898026496.jpg;0
2441;3;https://www.tripadvisor.com/Attraction_Review-g1024180-d8066475-Reviews-Normandie_ULM-Le_Val_Saint_Pere_Manche_Basse_Normandie_Normandy.html?m=67180;9;nuestras-smartbox/estancias/estancia-rustica-con-cena-1019.html;1;-1.3996712;48.6612304;Avranches;Aérodrome du Val-Saint-Père;FR;ADV;49.9;8.4;Survol du Mont Saint-Michel and ULM;ULM - Avranches - Smartbox;Survol du Mont Saint-Michel and ULM;With 20 years of experience in flying light craft, instructor Régis Mao of the Normandie ULM Mont Saint-Michel school invites lovers of thrilling activities to a wonderful flight over Normandy's most majestic bay in pendulum ULM. This ultralight aircraft topped by a delta wing will be the perfect machine to explore Mont Saint-Michel and its surroundings. Sitting in this aircraft, the sensations evoke those of the motorcycle, the lightness and the freedom to evolve in the air in addition! Recalling what the pioneers of the discipline have experienced, this variant of recreational aviation provides intense emotions, increased tenfold when the beauty of France's most famous islet is revealed. Surmounted by its abbey and classified as a UNESCO World Heritage Site, it will be the culmination of this enchanting flight over the cliffs covered with heather and salt meadows populated by sheep.;Live a magical moment above Mont Saint-Michel! The most famous islet in France can be discovered wonderfully aboard a pendulum ULM.;https://media.smartbox.com/pim/filters:format(webp)/10000021112711954080567.jpg;8
510201;4.5;https://www.tripadvisor.com/Hotel_Review-g187237-d195573-Reviews-Hotel_Royal_Riviera-St_Jean_Cap_Ferrat_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d.html?m=67180;1281;nos-smartbox/sport-aventure/voyage-en-montgolfiere-937.html;1;7.3275456;43.7023886;Saint-Jean-Cap-Ferrat;3 avenue Jean Monnet;FR;WEL;74.9;10;30-minute facial treatment and 2-hour access to a wellness area on the Côte d'Azur;Facial care and access to the wellness area - Cap-Ferrat - Smartbox;30-minute facial treatment and 2-hour access to a wellness area on the Côte d'Azur;On the Cap-Ferrat peninsula, it is a real parenthesis of sweetness and enchantment in the centre of the Royal Riviera that awaits lovers of well-being! Hidden among the flowers, palm trees and pines of Aleppo, this prestigious establishment of the 20th century is the embodiment of French chic and luxury. He was able to combine the privacy of a private villa with the glamour of a palace, which earned him the TripAdvisor Certificate of Excellence. Everything is only refinement and purity within its most pleasant relaxation area. Between a tonic or relaxing modelling and a facial treatment from the prestigious Sundari brand, inspired by the millennial principles of Ayurveda, there is an embarrassment of choice. This rejuvenating and resolutely magical experience will be complemented by a visit to the sauna, hammam and fitness room to end in beauty with a delicious infusion of aromatic plants, to be enjoyed in front of the blue of the Mediterranean.;On the Cap-Ferrat peninsula, reserve for your loved ones a parenthesis of sweetness and enchantment in the Royal Riviera wellness centre.;https://media.smartbox.com/pim/filters:format(webp)/10000022657021269488508.jpg;1
553517;4.5;https://www.tripadvisor.com/Attraction_Review-g1672825-d4086704-Reviews-Cap_LIberty-Le_Monastier_sur_Gazeille_Haute_Loire_Auvergne_Rhone_Alpes.html?m=67180;10;nuestras-smartbox/estancias/noche-y-cena-romantica-837.html;2;4.0171861;44.9314909;Le Monastier-sur-Gazeille;Viaduc de la Recoumène;FR;ADV;270;;Session of 2 65-meter bungee jumps at the Recoumène viaduct;Bungee jumping - Recoumène Viaduct - Smartbox;Session of 2 65-meter bungee jumps at the Recoumène viaduct;It's an extraordinary experience that awaits thrill seekers: defy the laws of gravity during two bungee jumps! No need to be a hothead to jump into the void, Cap Liberty ensures safe jumps on one of the most impressive viaducts in France, that of the Recoumène in Haute-Loire. Reaching up to 65 metres high, this building offers an incredible view of the Gazeille, a small tributary descending from Mount Mézenc. On site, the team with a contagious good humour is there to give a warm welcome to everyone. Equipment consisting of a harness and leggings is used to fix the elastic and a safety rope! After a gentle advance at the edge of the viaduct, it will be the free fall followed by successive ascents and oscillations until you quietly reach the ground. Shall we start again?;Make two lucky people live an extraordinary adventure from the Recoumène viaduct. A bungee jump strong in emotions!;https://media.smartbox.com/pim/filters:format(webp)/1000002271123965539316.jpg;0
553535;5;https://www.tripadvisor.com/Attraction_Review-g187147-d4545186-Reviews-Cine_Balade-Paris_Ile_de_France.html?m=67180;36;unsere-smartbox/kurzurlaub/3-tage-europa-deluxe-970.html;5;2.3522219;48.856614;Paris;NA;FR;ADV;75;;Walk in the Paris of cinema for 5 people;Cinema walk - Paris - Smartbox;Walk in the Paris of cinema for 5 people;This incredible box set invites all film lovers to celebrate the magic of the big screen, on the occasion of an unusual walk through the streets of Paris. It is in the heart of the capital that Ciné-Balade proposes to take film lovers in the footsteps of the greatest masterpieces of the 7th art. A warm guide will reveal to the curious the behind the scenes of the most famous films, at the bend of the winding streets of Montmartre or on the banks of the Canal Saint-Martin. Projection booths reserved only for insiders, cult scenes and mythical filming locations will come back to life for a final capture with a lot of anecdotes, skilfully distilled by the guide. Inveterate cinephiles but also lovers of the big screen will only succumb to this fascinating rediscovery of the greatest moments of world cinematographic heritage. A most exciting rendezvous with cinegenic Paris, to live between enthusiasts!;Invite your loved ones to explore behind the scenes of the 7th art classics during a walk in the Paris of cinema. A journey to the greatest films!;https://media.smartbox.com/pim/filters:format(webp)/1000002630385408887208.jpg;0
553537;5;https://www.tripadvisor.com/Attraction_Review-g187147-d11959468-Reviews-Paris_a_l_envers-Paris_Ile_de_France.html?m=67180;10;nos-smartbox/sejour/3-jours-chateaux-et-gastronomie-969.html;6;2.2502091;48.7099164;Palaiseau;5 ter rue Pierre de Coubertin;FR;ADV;75;;Guided tour of Paris for 6 people;Unusual guided tour - Paris - Smartbox;Guided tour of Paris for 6 people;Paris, considered by many to be the most beautiful city in the world, has always been able to radiate through its culture, gastronomy, streets, gardens and monuments. However, it still contains many secrets that the curious can discover thanks to a guided tour with Paris à l'Envers. From Lutetia to the Latin Quarter of Beaubourg, from Egypt of Luxembourg to the typical Montmartre, the history and anecdotes of the most emblematic places will be revealed by a friendly passionate history guide. At the bend of charming alleys, a small inner courtyard, a back door or a workshop, visitors will discover an unknown and unusual Paris, which holds many surprises! The ideal opportunity to learn while having fun during a nice walk, guided by exciting anecdotes. An unforgettable moment that will allow you to change your look at this fascinating city, which will never finish revealing itself completely!;Offer a guided tour of the capital's iconic places. Meet an unknown and unusual Paris!;https://media.smartbox.com/pim/filters:format(webp)/1000002630312953138002.jpg;0
553589;5;https://www.tripadvisor.com/Attraction_Review-g187147-d11959468-Reviews-Paris_a_l_envers-Paris_Ile_de_France.html?m=67180;10;unsere-smartbox/kurzurlaub/traumhaftes-wochenende-829.html;5;2.2502091;48.7099164;Palaiseau;5 ter rue Pierre de Coubertin;FR;ADV;230;;Guided tour to meet the history of Paris;Guided tour - Paris - Smartbox;Guided tour to meet the history of Paris;A multifaceted city, Paris is discovered and rediscovered with pleasure. It is through the prism of the history of its most emblematic monuments that the Paris à l'Envers organisation offers a unique experience: to meet the capital's past. The curious will choose their playground among sites as varied as the Eiffel Tower, the Trocadero, the Arc de Triomphe, the Champs Elysées, the Louvre Palace and its pyramid or Notre-Dame Cathedral. There will be a half-day of exciting peregrinations to meet the great and the small history. Between unusual anecdotes, highlights of the history of France and contemplative and gourmet breaks, time will take on a completely different dimension. One-day historians will be propelled into the whirlwind of the past, in the heart of a city that never ceases to fascinate and surprise. A visit to the top of his art, in one of the most beautiful cities in the world.;Offer a meeting of the emblematic monuments of the capital during a guided tour rich in anecdotes. Break the mysteries of Paris!;https://media.smartbox.com/pim/filters:format(webp)/10000026297141451468491.jpg;0
553618;4.5;https://www.tripadvisor.com/Hotel_Review-g2144899-d6861353-Reviews-ALTIPIK_Camp-Mont_Saxonnex_Haute_Savoie_Auvergne_Rhone_Alpes.html?m=67180;147;unsere-smartbox/kurzurlaub/europa-entdecken-831.html;2;6.487318;46.041052;Mont-Saxonnex;Morsullaz;FR;STG;220;8;2-day stay in a lodge with dinner in Haute-Savoie;Unusual 2-day stay - Mont-Saxonnex - Smartbox;2-day stay in a lodge with dinner in Haute-Savoie;Bivouac in the middle of nature while keeping modern comfort, the little chic side in addition, this is what the Altipik tipi village offers, ideally located between Geneva and Chamonix Mont-Blanc, in Mont-Saxonnex. Nature lovers looking for disconnection will discover a new way of camping with a glamorous touch: glamping! Farewell sleeping bag and badly mounted tent, and welcome to a new era. Wooden floors, feather duvets and lantern-dunk lighting, lodges, as they are called here, are comfortable for a stay full of sweetness. In addition to the pure air of nature and exceptional landscapes, in the evening, there is a delicious traditional Savoyard meal accompanied by a great regional wine, chignin-bergeron. This magnificent natural panorama bathed in lakes is the ideal place to share an atypical moment in a mountain atmosphere!;Make the gift of a gourmet stay in an unusual and glamorous tent in the village of Altipik tipis. Immerse yourself in a mountain atmosphere!;https://media.smartbox.com/pim/filters:format(webp)/1000002260659332367.jpg;1
553620;4.5;https://www.tripadvisor.com/Hotel_Review-g3708964-d3297857-Reviews-La_Charmante-Xertigny_Vosges_Grand_Est.html?m=67180;208;nostri-smartbox/benessere/momenti-di-benessere-834.html;2;6.3076545;48.0709456;Xertigny;563 route du Coney;FR;STA;110;10;2-day stay in a wine trailer in the Vosges;2-day stay in a wine trailer - Vosges - Smartbox;2-day stay in a wine trailer in the Vosges;A real invitation to relaxation and good humour, the La Charmante guest house is located in the south of the Vosges, in the heart of a still preserved nature. A stop at this beautiful restored farm, nestled on the edge of a pond, will be perfect for lovers of a friendly and warm atmosphere. Wooden furniture and exposed beams give joyful rustic accents in its cosy common areas where authenticity and tranquillity are the watchwords. Its wine trailer houses an alcove bed with irresistible charm, perfect for a quiet rest, away from the daily worries. A generous breakfast, to be enjoyed by the fire, or under the pergola on sunny days, will delight the most gourmet taste buds. All that remains is to explore the many activities offered by the region: hiking, snow fun, swimming or discovering local crafts. A rejuvenating stay in the Vosges terroir.;Spend an unforgettable night in a wine trailer at the La Charmante guest house in the Vosges. An atypical and bucolic escape!;https://media.smartbox.com/pim/filters:format(webp)/1000002260671593948652.jpg;1
553645;4;https://www.tripadvisor.com/Hotel_Review-g187080-d477786-Reviews-Hotel_Le_Biarritz-Biarritz_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitaine.html?m=67180;741;nos-smartbox/bien-etre/rituels-et-spas-d-exception-en-duo-878.html;2;-1.5691504;43.4693535;Biarritz;30 avenue de la Milady;FR;STW;290;7.02;Stay in a thalasso hotel with dinner in Biarritz;Hotel Le Biarritz - Biarritz - Smartbox;Stay in a thalasso hotel with dinner in Biarritz;A modern beachfront establishment, the Hotel Le Biarritz is the perfect setting for a delicious stay. Relaxation and fulness will be on the program of this wonderful getaway, thanks to the wellness centre located just 150 metres away. The heated seawater pools, sauna and hammam are conducive to relaxation and complete comfort. To perfect this parenthesis of relaxation and complicity, the centre team provides a body and face modelling with exceptional benefits. On the gastronomy side, the Ponton, the hotel's restaurant with terrace and views of Biarritz, offers a refined dinner composed of fresh and local products that will satisfy the most demanding palates. The absolute calm that reigns in the large and bright room is the guarantee of a good night's sleep. A rejuvenating stop to leave full of energy with a light mind and body!;Offer a relaxing stay by the sea at the Hotel Le Biarritz. A gourmet stay with thalasso access, for a moment of absolute rest.;https://media.smartbox.com/pim/filters:format(webp)/1000002264218457366618.jpg;20
